,WaveformDecomposition.stop_methode,WaveformDecomposition.stop_region,WaveformDecomposition.threshold,WaveformDecomposition.fwhm,WaveformDecomposition.search_range,WaveformDecomposition.search_edge,MipTimeRetrieval.pe_hit_time,MipTimeRetrieval.window_length,MipTimeRetrieval.window_threshold,SystematicsStudy.threshold_tres,SystematicsStudy.range_time,MPV_1,MPV_2,MPV_3,MPV_4,TRes,TRes_shift
101,2.0,3.0,1.5,8.0,1000.0,200.0,2.0,12.0,3.0,0.6,6.0,13.500000000805839,9.660105959230789,11.82519876461931,10.51386353776076,0.799923019937994,-0.3692031446049198
102,2.0,3.0,1.5,8.0,1000.0,200.0,2.0,36.0,1.0,0.5,6.0,15.500000000607319,13.283048280961022,13.500000000599949,12.973885048738229,1.130406718819747,-0.3471128303965266
103,2.0,3.0,1.5,8.0,1000.0,200.0,2.0,36.0,1.0,0.6,6.0,15.500000000607319,13.283048280961022,13.500000000599949,12.973885048738229,1.1296001539740634,-0.3299205358534151
104,2.0,3.0,1.5,8.0,1000.0,200.0,2.0,36.0,2.0,0.5,6.0,15.500000001850786,7.604063642671475,13.500000001027884,12.978209912209447,1.130406718819747,-0.3471128303965266
105,2.0,3.0,1.5,8.0,1000.0,200.0,2.0,36.0,2.0,0.6,6.0,15.500000001850786,7.604063642671475,13.500000001027884,12.978209912209447,1.1296001539740634,-0.3299205358534151
106,2.0,3.0,1.5,8.0,1000.0,200.0,2.0,36.0,3.0,0.5,6.0,15.500000001086214,11.881654707752027,13.500000001999036,12.998439169730595,1.130956326094859,-0.34708451317740313
107,2.0,3.0,1.5,8.0,1000.0,200.0,2.0,36.0,3.0,0.6,6.0,15.500000001086214,11.881654707752027,13.500000001999036,12.998439169730595,1.1300997674101427,-0.33002821220877576
108,2.0,3.0,2.5,4.0,1000.0,200.0,1.0,4.0,1.0,0.5,6.0,8.43516853875469,5.09041538444139,7.088174926794716,5.963839504471776,0.8990586087185888,-0.3396314543473092
109,2.0,3.0,2.5,4.0,1000.0,200.0,1.0,4.0,1.0,0.6,6.0,8.43516853875469,5.09041538444139,7.088174926794716,5.963839504471776,0.8865006293856297,-0.3578155376053647
110,2.0,3.0,2.5,4.0,1000.0,200.0,1.0,4.0,2.0,0.5,6.0,8.178258508393883,4.2577099063626855,6.885628040423408,6.01411627855914,0.8990586087185888,-0.3396314543473092
111,2.0,3.0,2.5,4.0,1000.0,200.0,1.0,4.0,2.0,0.6,6.0,8.178258508393883,4.2577099063626855,6.885628040423408,6.01411627855914,0.8865006293856297,-0.3578155376053647
112,2.0,3.0,2.5,4.0,1000.0,200.0,1.0,4.0,3.0,0.5,6.0,7.97302558110343,4.655381513456837,5.91903641862078,5.687181237974684,0.9073641780816699,-0.34574553902189503
113,2.0,3.0,2.5,4.0,1000.0,200.0,1.0,4.0,3.0,0.6,6.0,7.97302558110343,4.655381513456837,5.91903641862078,5.687181237974684,0.8704086816550508,-0.35691898187475796
114,2.0,3.0,2.5,4.0,1000.0,200.0,1.0,12.0,1.0,0.5,6.0,11.39340778055533,1.4652417583378885,9.909948972551446,8.616729106812146,1.256910425003707,-0.24511126503733757
115,2.0,3.0,2.5,4.0,1000.0,200.0,1.0,12.0,1.0,0.6,6.0,11.39340778055533,1.4652417583378885,9.909948972551446,8.616729106812146,1.0643254999201837,-0.2256330872396602
116,2.0,3.0,2.5,4.0,1000.0,200.0,1.0,12.0,2.0,0.5,6.0,11.420789397216952,6.983345636445738,9.9885424325616,8.358303145005786,1.256910425003707,-0.24511126503733757
117,2.0,3.0,2.5,4.0,1000.0,200.0,1.0,12.0,2.0,0.6,6.0,11.420789397216952,6.983345636445738,9.9885424325616,8.358303145005786,1.0643254999201837,-0.2256330872396602
118,2.0,3.0,2.5,4.0,1000.0,200.0,1.0,12.0,3.0,0.5,6.0,11.048776729073639,6.418513513774437,9.683063077362242,8.43019044838292,1.2576386319873125,-0.24552951835520248
119,2.0,3.0,2.5,4.0,1000.0,200.0,1.0,12.0,3.0,0.6,6.0,11.048776729073639,6.418513513774437,9.683063077362242,8.43019044838292,1.0643254999201837,-0.2256330872396602
120,2.0,3.0,2.5,4.0,1000.0,200.0,1.0,36.0,1.0,0.5,6.0,13.255959653932669,9.268332845633907,10.883980172418147,9.847719020004451,1.081100627168405,-0.15750873572926946
121,2.0,3.0,2.5,4.0,1000.0,200.0,1.0,36.0,1.0,0.6,6.0,13.255959653932669,9.268332845633907,10.883980172418147,9.847719020004451,1.0509380018722558,-0.15721149011276467
122,2.0,3.0,2.5,4.0,1000.0,200.0,1.0,36.0,2.0,0.5,6.0,12.79175090269651,9.309067746632566,10.958827677439155,9.877376752969083,1.081100627168405,-0.15750873572926946
123,2.0,3.0,2.5,4.0,1000.0,200.0,1.0,36.0,2.0,0.6,6.0,12.79175090269651,9.309067746632566,10.958827677439155,9.877376752969083,1.0509380018722558,-0.15721149011276467
124,2.0,3.0,2.5,4.0,1000.0,200.0,1.0,36.0,3.0,0.5,6.0,12.825608342978942,9.008337801385572,10.605266903461784,9.588202476888332,1.081100627168405,-0.15750873572926946
125,2.0,3.0,2.5,4.0,1000.0,200.0,1.0,36.0,3.0,0.6,6.0,12.825608342978942,9.008337801385572,10.605266903461784,9.588202476888332,1.0509380018722558,-0.15721149011276467
126,2.0,3.0,2.5,4.0,1000.0,200.0,2.0,4.0,1.0,0.5,6.0,8.43516853875469,5.09041538444139,7.088174926794716,5.963839504471776,0.8515763543045618,-0.21386205394865693
127,2.0,3.0,2.5,4.0,1000.0,200.0,2.0,4.0,1.0,0.6,6.0,8.43516853875469,5.09041538444139,7.088174926794716,5.963839504471776,0.8201462093282974,-0.2656340323866543
128,2.0,3.0,2.5,4.0,1000.0,200.0,2.0,4.0,2.0,0.5,6.0,8.178258508393883,4.2577099063626855,6.885628040423408,6.01411627855914,0.8499580052660971,-0.21161363333264285
129,2.0,3.0,2.5,4.0,1000.0,200.0,2.0,4.0,2.0,0.6,6.0,8.178258508393883,4.2577099063626855,6.885628040423408,6.01411627855914,0.8201462093282974,-0.2656340323866543
